	precision	recall	thresholds
116	0.018149071765031864	1.0	0.051106054335832596
117	0.018151586531799917	1.0	0.05112951621413231
118	0.01815410199556541	1.0	0.05114046856760979
119	0.018156618156618155	1.0	0.05114059895277023
120	0.01815913501524813	1.0	0.05114271491765976
121	0.01816165257174546	1.0	0.05114515870809555
122	0.018164170826400445	1.0	0.05115029215812683
123	0.018166689779503538	1.0	0.05115237832069397
124	0.018169209431345354	1.0	0.05116206407546997
125	0.018174250832408437	1.0	0.05117315426468849
126	0.018176772582211738	1.0	0.05119151622056961
127	0.018179295031917845	1.0	0.05119679495692253
128	0.01818181818181818	1.0	0.05119684338569641
129	0.018184342032204332	1.0	0.051197364926338196
130	0.01818686658336804	1.0	0.0512087382376194
131	0.018189391835601223	1.0	0.05121289938688278
132	0.018194444444444444	1.0	0.051222920417785645
